id,publication_date,abstract,title
10.1371/journal.pone.0076459,2013-10-10T00:00:00Z,"Background: The Eastern honey bee, Apis cerana Fabricius, is distributed in southern and eastern Asia, from India and China to Korea and Japan and southeast to the Moluccas. This species is also widely kept for honey production besides Apis mellifera. Apis cerana is also a model organism for studying social behavior, caste determination, mating biology, sexual selection, and host-parasite interactions. Few resources are available for molecular research in this species, and a linkage map was never constructed. A linkage map is a prerequisite for quantitative trait loci mapping and for analyzing genome structure. We used the Chinese honey bee, Apis cerana cerana to construct the first linkage map in the Eastern honey bee. Results: F2 workers (N = 103) were genotyped for 126,990 single nucleotide polymorphisms (SNPs). After filtering low quality and those not passing the Mendel test, we obtained 3,000 SNPs, 1,535 of these were informative and used to construct a linkage map. The preliminary map contains 19 linkage groups, we then mapped the 19 linkage groups to 16 chromosomes by comparing the markers to the genome of A. mellfiera. The final map contains 16 linkage groups with a total of 1,535 markers. The total genetic distance is 3,942.7 centimorgans (cM) with the largest linkage group (180 loci) measuring 574.5 cM. Average marker interval for all markers across the 16 linkage groups is 2.6 cM. Conclusion: We constructed a high density linkage map for A. c. cerana with 1,535 markers. Because the map is based on SNP markers, it will enable easier and faster genotyping assays than randomly amplified polymorphic DNA or microsatellite based maps used in A. mellifera.",A SNP Based High-Density Linkage Map of Apis cerana Reveals a High Recombination Rate Similar to Apis mellifera
10.1371/journal.pone.0157980,2016-08-04T00:00:00Z,"Honeybees live in complex societies whose capabilities far exceed those of the sum of their single members. This social synergism is achieved mainly by the worker bees, which form a female caste. The worker bees display diverse collaborative behaviors and engage in different behavioral tasks, which are controlled by the central nervous system (CNS). The development of the worker brain is determined by the female sex and the worker caste determination signal. Here, we report on genes that are controlled by sex or by caste during differentiation of the worker’s pupal brain. We sequenced and compared transcriptomes from the pupal brains of honeybee workers, queens and drones. We detected 333 genes that are differently expressed and 519 genes that are differentially spliced between the sexes, and 1760 genes that are differentially expressed and 692 genes that are differentially spliced between castes. We further found that 403 genes are differentially regulated by both the sex and caste signals, providing evidence of the integration of both signals through differential gene regulation. In this gene set, we found that the molecular processes of restructuring the cell shape and cell-to-cell signaling are overrepresented. Our approach identified candidate genes that may be involved in brain differentiation that ensures the various social worker behaviors.",Linking Genes and Brain Development of Honeybee Workers: A Whole-Transcriptome Approach
10.1371/journal.pone.0125068,2015-05-08T00:00:00Z,"In honeybees, reproductive females usually mate early in their life with more than 10 males in free flight, often within 10 minutes, and then store male gametes for up to five years. Because of the extreme polyandry and mating in free flight special adaptations in males are most likely. We present here the results of an investigation of the protein content of four types of male reproductive glands from the Western honeybee (Apis mellifera) drone, namely seminal vesicles (secretion in ejaculate), as well as bulbus, cornua and mucus glands (secretions for the mating plug). Using high resolution and accuracy mass spectrometry and a combination of database searching and de novo sequencing techniques it was possible to identify 50 different proteins in total, inside all mentioned glands, except in the mucus gland. Most of the proteins are unique for a specific gland type, only one of them (H9KEY1/ATP synthase subunit O) was found in three glands, and 7 proteins were found in two types of glands. The identified proteins represent a wide variety of biological functions and can be assigned to several physiological classes, such as protection, energy generation, maintaining optimal conditions, associated mainly with vesicula seminalis; signaling, cuticle proteins, icarpin and apolipoproteins located mainly in the bulbus and cornua glands; and some other classes. Most of the discovered proteins were not found earlier during investigation of semen, seminal fluid and tissue of reproductive glands of the bee drone. Moreover, we provide here the origin of each protein. Thus, the presented data might shed light on the role of each reproductive gland.",Protein and Peptide Composition of Male Accessory Glands of Apis mellifera Drones Investigated by Mass Spectrometry
10.1371/journal.pone.0000980,2007-10-03T00:00:00Z,"Mating has profound effects on the physiology and behavior of female insects, and in honey bee (Apis mellifera) queens, these changes are permanent. Queens mate with multiple males during a brief period in their early adult lives, and shortly thereafter they initiate egg-laying. Furthermore, the pheromone profiles of mated queens differ from those of virgins, and these pheromones regulate many different aspects of worker behavior and colony organization. While it is clear that mating causes dramatic changes in queens, it is unclear if mating number has more subtle effects on queen physiology or queen-worker interactions; indeed, the effect of multiple matings on female insect physiology has not been broadly addressed. Because it is not possible to control the natural mating behavior of queens, we used instrumental insemination and compared queens inseminated with semen from either a single drone (single-drone inseminated, or SDI) or 10 drones (multi-drone inseminated, or MDI). We used observation hives to monitor attraction of workers to SDI or MDI queens in colonies, and cage studies to monitor the attraction of workers to virgin, SDI, and MDI queen mandibular gland extracts (the main source of queen pheromone). The chemical profiles of the mandibular glands of virgin, SDI, and MDI queens were characterized using GC-MS. Finally, we measured brain expression levels in SDI and MDI queens of a gene associated with phototaxis in worker honey bees (Amfor). Here, we demonstrate for the first time that insemination quantity significantly affects mandibular gland chemical profiles, queen-worker interactions, and brain gene expression. Further research will be necessary to elucidate the mechanistic bases for these effects: insemination volume, sperm and seminal protein quantity, and genetic diversity of the sperm may all be important factors contributing to this profound change in honey bee queen physiology, queen behavior, and social interactions in the colony.",Effects of Insemination Quantity on Honey Bee Queen Physiology
10.1371/journal.pone.0036229,2012-05-02T00:00:00Z,"Background: Meiotic exchanges are non-uniformly distributed across the genome of most studied organisms. This uneven distribution suggests that recombination is initiated by specific signals and/or regulations. Some of these signals were recently identified in humans and mice. However, it is unclear whether or not sequence signals are also involved in chromosomal recombination of insects. Methodology: We analyzed recombination frequencies in the honeybee, in which genome sequencing provided a large amount of SNPs spread over the entire set of chromosomes. As the genome sequences were obtained from a pool of haploid males, which were the progeny of a single queen, an oocyte method (study of recombination on haploid males that develop from unfertilized eggs and hence are the direct reflect of female gametes haplotypes) was developed to detect recombined pairs of SNP sites. Sequences were further compared between recombinant and non-recombinant fragments to detect recombination-specific motifs. Conclusions: Recombination events between adjacent SNP sites were detected at an average distance of 92 bp and revealed the existence of high rates of recombination events. This study also shows the presence of conversion without crossover (i. e. non-crossover) events, the number of which largely outnumbers that of crossover events. Furthermore the comparison of sequences that have undergone recombination with sequences that have not, led to the discovery of sequence motifs (CGCA, GCCGC, CCGCA), which may correspond to recombination signals.",Fine Scale Analysis of Crossover and Non-Crossover and Detection of Recombination Sequence Motifs in the Honeybee (Apis mellifera)
10.1371/journal.pone.0118707,2015-03-13T00:00:00Z,"Social honey bees, Apis mellifera, host a set of distinct microbiota, which is similar across the continents and various honey bee species. Some of these bacteria, such as lactobacilli, have been linked to immunity and defence against pathogens. Pathogen defence is crucial, particularly in larval stages, as many pathogens affect the brood. However, information on larval microbiota is conflicting.
Seven developmental stages and drones were sampled from 3 colonies at each of the 4 geographic locations of A. mellifera carnica, and the samples were maintained separately for analysis. We analysed the variation and abundance of important bacterial groups and taxa in the collected bees.
Major bacterial groups were evaluated over the entire life of honey bee individuals, where digestive tracts of same aged bees were sampled in the course of time. The results showed that the microbial tract of 6-day-old 5th instar larvae were nearly equally rich in total microbial counts per total digestive tract weight as foraging bees, showing a high percentage of various lactobacilli (Firmicutes) and Gilliamella apicola (Gammaproteobacteria 1). However, during pupation, microbial counts were significantly reduced but recovered quickly by 6 days post-emergence. Between emergence and day 6, imago reached the highest counts of Firmicutes and Gammaproteobacteria, which then gradually declined with bee age. Redundancy analysis conducted using denaturing gradient gel electrophoresis identified bacterial species that were characteristic of each developmental stage.
The results suggest that 3-day 4th instar larvae contain low microbial counts that increase 2-fold by day 6 and then decrease during pupation. Microbial succession of the imago begins soon after emergence. We found that bacterial counts do not show only yearly cycles within a colony, but vary on the individual level. Sampling and pooling adult bees or 6th day larvae may lead to high errors and variability, as both of these stages may be undergoing dynamic succession.","Variation in Honey Bee Gut Microbial Diversity Affected by Ontogenetic Stage, Age and Geographic Location"
10.1371/journal.pone.0089917,2014-02-24T00:00:00Z,"Injection of human pathogenic bacteria (Pseudomonas aeruginosa, Serratia marcescens, Salmonella enterica, Staphylococcus aureus, and Listeria monocytogenes) into the hemocoel of honeybee (Apis mellifera L.) workers kills the infected bees. The bee-killing effects of the pathogens were affected by temperature, and the LD50 values at 37°C were more than 100-fold lower than those at 15°C. Gene-disrupted S. aureus mutants of virulence genes such as agrA, saeS, arlR, srtA, hla, and hlb had attenuated bee-killing ability. Nurse bees were less susceptible than foragers and drones to S. aureus infection. Injection of antibiotics clinically used for humans had therapeutic effects against S. aureus infections of bees, and the ED50 values of these antibiotics were comparable with those determined in mammalian models. Moreover, the effectiveness of orally administered antibiotics was consistent between honeybees and mammals. These findings suggest that the honeybee could be a useful model for assessing the pathogenesis of human-infecting bacteria and the effectiveness of antibiotics.","Establishment of a Bacterial Infection Model Using the European Honeybee, Apis mellifera L"
10.1371/journal.pone.0009213,2010-02-16T00:00:00Z,"Background: The importance of visual sense in Hymenopteran social behavior is suggested by the existence of a Hymenopteran insect-specific neural circuit related to visual processing and the fact that worker honeybee brain changes morphologically according to its foraging experience. To analyze molecular and neural bases that underlie the visual abilities of the honeybees, we used a cDNA microarray to search for gene(s) expressed in a neural cell-type preferential manner in a visual center of the honeybee brain, the optic lobes (OLs). Methodology/Principal Findings: Expression analysis of candidate genes using in situ hybridization revealed two genes expressed in a neural cell-type preferential manner in the OLs. One is a homologue of Drosophila futsch, which encodes a microtubule-associated protein and is preferentially expressed in the monopolar cells in the lamina of the OLs. The gene for another microtubule-associated protein, tau, which functionally overlaps with futsch, was also preferentially expressed in the monopolar cells, strongly suggesting the functional importance of these two microtubule-associated proteins in monopolar cells. The other gene encoded a homologue of Misexpression Suppressor of Dominant-negative Kinase Suppressor of Ras 2 (MESK2), which might activate Ras/MAPK-signaling in Drosophila. MESK2 was expressed preferentially in a subclass of neurons located in the ventral region between the lamina and medulla neuropil in the OLs, suggesting that this subclass is a novel OL neuron type characterized by MESK2-expression. These three genes exhibited similar expression patterns in the worker, drone, and queen brains, suggesting that they function similarly irrespective of the honeybee sex or caste. Conclusions: Here we identified genes that are expressed in a monopolar cell (Amfutsch and Amtau) or ventral medulla-preferential manner (AmMESK2) in insect OLs. These genes may aid in visualizing neurites of monopolar cells and ventral medulla cells, as well as in analyzing the function of these neurons.","In Situ Hybridization Analysis of the Expression of Futsch, Tau, and MESK2 Homologues in the Brain of the European Honeybee (Apis mellifera L.)"
10.1371/journal.pone.0029006,2011-12-19T00:00:00Z,"Insect hexamerins have long been known as storage proteins that are massively synthesized by the larval fat body and secreted into hemolymph. Following the larval-to-pupal molt, hexamerins are sequestered by the fat body via receptor-mediated endocytosis, broken up, and used as amino acid resources for metamorphosis. In the honey bee, the transcript and protein subunit of a hexamerin, HEX 70a, were also detected in ovaries and testes. Aiming to identify the subcellular localization of HEX 70a in the female and male gonads, we used a specific antibody in whole mount preparations of ovaries and testes for analysis by confocal laser-scanning microscopy. Intranuclear HEX 70a foci were evidenced in germ and somatic cells of ovarioles and testioles of pharate-adult workers and drones, suggesting a regulatory or structural role. Following injection of the thymidine analog EdU we observed co-labeling with HEX 70a in ovariole cell nuclei, inferring possible HEX 70a involvement in cell proliferation. Further support to this hypothesis came from an injection of anti-HEX 70a into newly ecdysed queen pupae where it had a negative effect on ovariole thickening. HEX 70a foci were also detected in ovarioles of egg laying queens, particularly in the nuclei of the highly polyploid nurse cells and in proliferating follicle cells. Additional roles for this storage protein are indicated by the detection of nuclear HEX 70a foci in post-meiotic spermatids and spermatozoa. Taken together, these results imply undescribed roles for HEX 70a in the developing gonads of the honey bee and raise the possibility that other hexamerins may also have tissue specific functions.","A Honey Bee Hexamerin, HEX 70a, Is Likely to Play an Intranuclear Role in Developing and Mature Ovarioles and Testioles"
10.1371/journal.pone.0125011,2015-04-30T00:00:00Z,"Bumblebees such as Bombus terrestris are essential pollinators in natural and managed ecosystems. In addition, this species is intensively used in agriculture for its pollination services, for instance in tomato and pepper greenhouses. Here we performed a quantitative trait loci (QTL) analysis on B. terrestris using 136 microsatellite DNA markers to identify genes linked with 20 traits including light sensitivity, body size and mass, and eye and hind leg measures. By composite interval mapping (IM), we found 83 and 34 suggestive QTLs for 19 of the 20 traits at the linkage group wide significance levels of p = 0.05 and 0.01, respectively. Furthermore, we also found five significant QTLs at the genome wide significant level of p = 0.05. Individual QTLs accounted for 7.5-53.3% of the phenotypic variation. For 15 traits, at least one QTL was confirmed with multiple QTL model mapping. Multivariate principal components analysis confirmed 11 univariate suggestive QTLs but revealed three suggestive QTLs not identified by the individual traits. We also identified several candidate genes linked with light sensitivity, in particular the Phosrestin-1-like gene is a primary candidate for its phototransduction function. In conclusion, we believe that the suggestive and significant QTLs, and markers identified here, can be of use in marker-assisted breeding to improve selection towards light sensitive bumblebees, and thus also the pollination service of bumblebees.","Quantitative Trait Loci for Light Sensitivity, Body Weight, Body Size, and Morphological Eye Parameters in the Bumblebee, Bombus terrestris"
